bike_id,bike_start,bike_end,avg_duration_mins,total_trips,total_duration_hours,total_days_hired
17272,2020-02-22 11:25:00.000000 UTC,2022-09-08 11:28:00.000000 UTC,23.98732868,3867,1545.983333,722
17273,2020-02-26 10:03:00.000000 UTC,2022-09-09 09:56:00.000000 UTC,22.27395091,3789,1406.6,660
17274,2020-02-22 13:15:00.000000 UTC,2022-09-09 18:58:00.000000 UTC,23.57024169,2648,1040.233333,477
17275,2020-02-22 13:18:00.000000 UTC,2022-09-02 13:21:00.000000 UTC,21.44691011,3560,1272.516667,656
17276,2020-02-28 17:55:00.000000 UTC,2022-09-05 18:47:00.000000 UTC,24.78745645,3157,1304.233333,576
17277,2020-03-01 15:17:00.000000 UTC,2022-09-08 18:49:00.000000 UTC,24.58628036,2347,961.7333333,454
17278,2020-02-28 17:05:00.000000 UTC,2022-09-09 19:16:00.000000 UTC,24.27027845,3304,1336.483333,591
17279,2020-02-22 07:19:00.000000 UTC,2022-09-08 09:17:00.000000 UTC,23.02658432,3724,1429.183333,688
17280,2020-02-23 16:17:00.000000 UTC,2022-09-09 12:49:00.000000 UTC,21.82968065,3194,1162.066667,551
17281,2020-02-22 12:17:00.000000 UTC,2022-09-09 10:13:00.000000 UTC,22.67622124,2477,936.15,529
17282,2020-02-22 10:09:00.000000 UTC,2022-08-20 14:25:00.000000 UTC,22.26213836,3975,1474.866667,716
17283,2020-02-22 09:31:00.000000 UTC,2022-09-09 13:27:00.000000 UTC,22.17030697,3388,1251.883333,625
17284,2020-02-22 17:37:00.000000 UTC,2022-08-21 16:43:00.000000 UTC,25.1627543,3834,1607.9,715
17285,2020-02-29 09:44:00.000000 UTC,2022-04-18 16:51:00.000000 UTC,22.15240555,3097,1143.433333,594
17286,2020-03-11 07:44:00.000000 UTC,2022-09-08 19:58:00.000000 UTC,23.4318328,3110,1214.55,533
17287,2020-03-14 15:55:00.000000 UTC,2021-11-06 23:00:00.000000 UTC,24.00577082,2426,970.6333333,388
17288,2020-03-11 09:25:00.000000 UTC,2022-09-09 22:20:00.000000 UTC,22.0347973,2960,1087.05,568
17289,2020-03-13 16:44:00.000000 UTC,2022-07-25 09:10:00.000000 UTC,23.37114673,3244,1263.6,604
17290,2020-03-13 17:05:00.000000 UTC,2022-08-25 21:33:00.000000 UTC,23.59391909,3881,1526.133333,684
17291,2020-08-17 16:47:00.000000 UTC,2022-09-09 16:01:00.000000 UTC,21.26332623,2814,997.25,564
17292,2020-03-11 08:35:00.000000 UTC,2022-09-09 20:14:00.000000 UTC,22.67124969,4073,1539,715
17293,2020-03-13 17:20:00.000000 UTC,2022-09-09 17:09:00.000000 UTC,22.70707418,2912,1102.05,495
17294,2020-03-13 17:05:00.000000 UTC,2022-09-09 19:12:00.000000 UTC,23.93572084,3267,1303.3,603
17295,2020-03-13 16:04:00.000000 UTC,2022-03-25 16:18:00.000000 UTC,23.74939759,2490,985.6,498
17296,2020-03-13 07:50:00.000000 UTC,2022-09-09 23:39:00.000000 UTC,23.21212121,3663,1417.1,658
17297,2020-03-14 10:56:00.000000 UTC,2020-08-07 16:52:00.000000 UTC,33.82721893,845,476.4,131
17298,2020-03-17 08:32:00.000000 UTC,2022-05-23 10:44:00.000000 UTC,25.15941011,2848,1194.233333,513
